year,name,fraction,sex
1880,Mary,0.072384,f
1880,Anna,0.026679,f
1880,Emma,0.020522,f
1880,Elizabeth,0.019866,f
1880,Minnie,0.017889,f
1880,Margaret,0.016167,f
1880,Ida,0.015081,f
1880,Alice,0.014487,f
1880,Bertha,0.013524,f
1880,Sarah,0.013196,f
1880,Annie,0.012889,f
1880,Clara,0.012561,f
1880,Ella,0.011844,f
1880,Florence,0.010891,f
1880,Cora,0.010707,f
1880,Martha,0.010655,f
1880,Laura,0.010368,f
1880,Nellie,0.010194,f
1880,Grace,0.010061,f
1880,Carrie,0.009723,f
1880,Maude,0.008791,f
1880,Mabel,0.008278,f
1880,Bessie,0.008155,f
1880,Jennie,0.008125,f
1880,Gertrude,0.008063,f
1880,Julia,0.008022,f
1880,Hattie,0.007879,f
1880,Edith,0.007869,f
1880,Mattie,0.007213,f
1880,Rose,0.007172,f
1880,Catherine,0.007049,f
1880,Lillian,0.006885,f
1880,Ada,0.00668,f
1880,Lillie,0.006629,f
1880,Helen,0.006516,f
1880,Jessie,0.006506,f
1880,Louise,0.006506,f
1880,Ethel,0.006485,f
1880,Lula,0.006362,f
1880,Myrtle,0.006301,f
1880,Eva,0.006291,f
1880,Frances,0.006199,f
1880,Lena,0.006178,f
1880,Lucy,0.006045,f
1880,Edna,0.006024,f
1880,Maggie,0.005963,f
1880,Pearl,0.00583,f
1880,Daisy,0.005778,f
1880,Fannie,0.005737,f
1880,Josephine,0.005574,f
1880,Dora,0.005369,f
1880,Rosa,0.005194,f
1880,Katherine,0.005143,f
1880,Agnes,0.004846,f
1880,Marie,0.004826,f
1880,Nora,0.004826,f
1880,May,0.004733,f
1880,Mamie,0.004467,f
1880,Blanche,0.004375,f
1880,Stella,0.004242,f
1880,Ellen,0.004211,f
1880,Nancy,0.004201,f
1880,Effie,0.00416,f
1880,Sallie,0.004139,f
1880,Nettie,0.004129,f
1880,Della,0.004006,f
1880,Lizzie,0.003975,f
1880,Flora,0.00374,f
1880,Susie,0.003699,f
1880,Maud,0.003535,f
1880,Mae,0.003524,f
1880,Etta,0.003309,f
1880,Harriet,0.003268,f
1880,Sadie,0.003248,f
1880,Caroline,0.003135,f
1880,Katie,0.003104,f
1880,Lydia,0.003094,f
1880,Elsie,0.003084,f
1880,Kate,0.003063,f
1880,Susan,0.00293,f
1880,Mollie,0.002899,f
1880,Alma,0.002838,f
1880,Addie,0.002807,f
1880,Georgia,0.002654,f
1880,Eliza,0.002582,f
1880,Lulu,0.002551,f
1880,Nannie,0.002541,f
1880,Lottie,0.00251,f
1880,Amanda,0.002469,f
1880,Belle,0.002438,f
1880,Charlotte,0.002428,f
1880,Rebecca,0.002418,f
1880,Ruth,0.002397,f
